,SEG
498,1371768
499,64579488
500,48747208
501,-1170280
502,-18883292
503,-63887334
504,-66291256
505,50272480
506,17698084
507,67917798
508,17716688
509,-67226324
510,-194641536
511,-555377472
512,17884000
513,-64368
514,132507104
515,439186752
516,-17893696
517,73754436
518,-12212656
519,-24562936
520,-194159200
521,-57165808
522,-107846752
523,136475736
524,195346528
525,179568
526,163797024
527,-62720848
528,-19808324
529,-65718208
530,-21447704
531,-78438820
532,-65154499
533,65465712
534,21528141
535,76942180
536,132180383
537,50767712
538,75100123
539,75068112
540,8341336
541,-61881560
542,-8332508
543,-7440192
544,-10767120
545,-5915328
546,-65963316
547,-124263560
548,-27552
549,179312
550,63461200
551,53026256
552,-46420896
553,-66412056
554,-10448
555,21749320
556,-61565899
557,21728580
558,-263856
559,138192
560,40141435
561,107827164
562,4605472
563,-18397720
564,67886896
565,-240791961
566,-4293264
567,64361976
568,-44809576
569,111229301
570,3360160
571,-46398672
572,44856344
573,132338956
574,-61002004
575,673808
576,-58303044
577,-455984808
578,-28242876
579,-224
580,-468375148
581,-85580800
582,-453660744
583,91059648
584,462359928
585,492566192
586,484230608
587,-109597472
588,-3615160
589,-17976112
590,58347432
591,-1224768
592,67685680
593,6117488
594,-67429328
595,1117868
596,204976
597,12117712
598,1481968
599,18243508
600,-63009375
601,-308960
602,16434224
603,-73649
604,66374735
605,-62013260
606,245552
607,1527425
608,-417624928
609,63881524
610,1640584
611,74856
612,-8688912
613,-378337592
614,48830472
615,-63850208
616,4018176
617,182224352
618,101392
619,61985760
620,354631680
621,176413216
622,-68615504
623,-17784904
624,-504221696
625,12288
626,-478920704
627,1497072
628,505731056
629,66748808
630,496732832
631,16307536
632,-356235248
633,-421474696
634,-18151944
635,-18148520
636,356255896
637,356251800
638,1864704
639,1864704
640,-178206224
641,-45768160
642,-78441039
643,-49202648
644,-283496832
645,73185720
646,23458815
647,-302056040
648,110458976
649,-378661640
650,14978392
651,321033664
652,172944704
653,172944696
654,65357020
655,31093144
656,196382912
657,212616792
658,-443685084
659,-3368912
660,-20581256
661,-16233512
662,-58410992
663,-474242096
664,-474241960
665,-118808656
666,510912000
667,88704304
668,494085608
669,134880000
670,-510900288
671,-88676656
672,-405381304
673,-146219612
674,61997104
675,298419776
676,405379144
677,146225852
678,448899680
679,212482368
680,16875072
681,22928
682,-16849056
683,-448920840
684,-89205664
685,-36625856
686,-493936192
687,-61885696
688,-421760136
689,-474305512
690,125376144
691,125376136
692,454545688
693,15435112
694,358871480
695,358833060
696,12763836
697,136
698,-421893256
699,-421854700
700,-24526908
701,427327784
702,380297841
703,17056
704,-15264
705,11793176
706,61453727
707,448222360
708,61469928
709,12024024
710,-16272
711,-13270340
712,-6768372
713,44367088
714,-28704904
715,13491476
716,-481908500
717,-510491568
718,21940628
719,-35449368
720,-15588864
721,317723672
722,13470612
723,15348492
724,494057216
725,175854792
726,-44346016
727,-428247628
728,17009600
729,-431437256
730,-417774184
731,-13790744
732,-26401802
733,-1145004
734,-29948596
735,-48810912
736,-484641270
737,460078468
738,491875612
739,511211120
740,376009872
741,-145525192
742,-8772864
743,-112544
744,118041104
745,118039992
746,72606880
747,-22676016
748,-5637376
749,-4889280
750,-34858832
751,51290704
752,-1140976
753,50546768
754,25616
755,-19600
756,51438768
757,-50714524
758,-58489912
759,-932368
760,-49551216
761,-578020
762,93281112
763,-62092952
764,-859008
765,-124784
766,-11808
767,-20976416
768,-487810448
769,-488332104
770,-567181512
771,-448355320
772,231300792
773,231833552
774,487398392
775,487447436
776,256506824
777,256501032
778,-190279104
779,-20879912
780,51021872
781,50524112
782,234359536
783,-502721308
784,-568137392
785,866720
786,847312
787,504375864
788,81538488
789,-16400
790,-64280960
791,64127568
792,486458504
793,-136569640
794,-72284248
795,-74276080
796,2672
797,-27227944
798,136578408
799,-465072336
800,-538844528
801,-347843408
802,-511649920
803,539338768
804,-22145808
805,-49833872
806,-19351040
807,-555434272
808,30486928
809,18567568
810,-11911168
811,12529664
812,-26615808
813,-14692352
814,-14692352
815,-14696448
816,8306688
817,8306688
818,8306688
819,70607568
820,549319872
821,520555648
822,520929808
823,486241648
824,-52239632
825,-79994032
826,-80372192
827,-64947680
828,56354992
829,43072200
830,43066456
831,5104
832,-69802792
833,20440
834,26088
835,41912
836,21712
837,-72920
838,16384
839,12392
840,12392
841,97496
842,-12392
843,69751104
844,-42509192
845,-42525584
846,-20408880
847,-69747112
848,42513184
849,42521384
850,-334131160
851,2697784
852,-354544136
853,2692664
854,357255232
855,-1916928
856,52961280
857,16384
858,16384
859,1945600
860,304312384
861,67052432
862,-506439744
863,-506442816
864,-312899904
865,-379935952
866,193545984
867,193550080
868,8208
869,8208
870,8208
871,8208
872,32880
873,53488
874,61680
875,8579312
876,8554624
877,8534016
878,8521728
879,4096
880,-8653248
881,0
882,-86278144
883,-8649152
884,0
885,-8653248
886,77645424
887,16432
888,16432
889,16432
890,20528
891,16432
892,106400
893,110496
894,98160
895,94064
896,12288
897,16384
898,12288
899,-77755920
900,379867040
901,379874128
902,379869520
903,457641984
904,-67073392
905,-67086624
906,-69008160
907,-67071936
908,22528
909,19456
910,1948672
911,-23366144104
912,-309359632
913,-5089288
914,335027984
915,23718327576
916,-109423360
917,39329112
918,-588298028
919,-410353788
920,453030208
921,-496032584
922,-208525796
923,52355436
924,-69173980
925,299753976
926,326944912
927,-44072
928,-51185072
929,-17158780
930,88975576
931,-418200136
932,-375761460
933,196540732
934,125493496
935,435326528
936,473120928
937,-18857680
938,-81135744
939,-428967904
940,-50553248
941,12764064
942,-2133816
943,316888912
944,-61512080
945,15488
946,-96815832
947,356592
948,55007968
949,86508368
950,163336592
951,163336688
952,108206400
953,-132883232
954,-97982240
955,-234388656
956,468064
957,43084696
958,43084696
959,-305309728
960,-45514592
961,-368941976
962,-423486032
963,61314788
964,-1792352
965,378220112
966,-65204432
967,256427004
968,-476278108
969,7776
970,302433808
971,169676064
972,459738572
973,-6662416
974,168252696
975,-471995228
976,-469199576
977,-9120
978,-149061984
979,460089460
980,460155320
981,51410704
982,113412620
983,-157777148
984,-457501304
985,-220803920
986,-132552048
987,287104
988,478108440
989,-302592508
990,189783396
991,170348820
992,-480740944
993,289396934
994,-14393975
995,54075120
996,481700912
997,238668574
998,-458558536
999,-175897616
1000,-170615756
1001,31153624
1002,523478559
1003,172350800
1004,221153788
1005,-99067274
1006,-73403936
1007,-27667952
1008,-234069272
1009,-170748590
1010,-349645600
1011,-23241264
1012,234008104
1013,234009768
1014,423240576
1015,-51309624
1016,-63345384
1017,-63338904
1018,-532446712
1019,51304728
1020,67174168
1021,63772184
1022,55210176
1023,-170248816
